Frequency (Hz),Frequency (rad/sec),Gain (V/V),Gain (dB),Phase (Deg),Phase (Rad),Group Delay (uSec)
741310.241,4657789.616,0,-135.591,-179.976,-3.141,0
749894.209,4711724.278,0,-135.791,-179.977,-3.141,0
758577.575,4766283.474,0,-135.991,-179.977,-3.141,0
767361.489,4821474.435,0,-136.191,-179.977,-3.141,0
776247.117,4877304.478,0,-136.391,-179.977,-3.141,0
785235.635,4933781.002,0,-136.591,-179.978,-3.141,0
794328.235,4990911.493,0,-136.791,-179.978,-3.141,0
803526.122,5048703.525,0,-136.991,-179.978,-3.141,0
812830.516,5107164.756,0,-137.191,-179.978,-3.141,0
822242.65,5166302.937,0,-137.391,-179.979,-3.141,0
831763.771,5226125.906,0,-137.591,-179.979,-3.141,0
841395.142,5286641.592,0,-137.791,-179.979,-3.141,0
851138.038,5347858.016,0,-137.991,-179.979,-3.141,0
860993.752,5409783.293,0,-138.191,-179.98,-3.141,0
870963.59,5472425.632,0,-138.391,-179.98,-3.141,0
881048.873,5535793.334,0,-138.591,-179.98,-3.141,0
891250.938,5599894.799,0,-138.791,-179.98,-3.141,0
901571.138,5664738.525,0,-138.991,-179.981,-3.141,0
912010.839,5730333.106,0,-139.191,-179.981,-3.141,0
922571.427,5796687.236,0,-139.391,-179.981,-3.141,0
933254.301,5863809.711,0,-139.591,-179.981,-3.141,0
944060.876,5931709.427,0,-139.791,-179.981,-3.141,0
954992.586,6000395.385,0,-139.991,-179.982,-3.141,0
966050.879,6069876.689,0,-140.191,-179.982,-3.141,0
977237.221,6140162.548,0,-140.391,-179.982,-3.141,0
988553.095,6211262.28,0,-140.591,-179.982,-3.141,0
